what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1362278122192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362278122547
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1362278122937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362278135856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1362278138099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362278139803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362278142502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362278142770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362278143384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362278144734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1362278148318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1362278149794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362278152317
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362278160468
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362278167709
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362278169521
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362278174682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362278176944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362278192810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362278197757
error,log,,,"Se produjeron problemas cuando se invocó código del plug-in: ""org.eclipse.ui.workbench"".",1362278197830
error,log,,,"Index out of bounds",1362278197832
error,log,,,"Se produjeron problemas cuando se invocó código del plug-in: ""org.eclipse.ui.workbench"".",1362278198881
error,log,,,"Se ha lanzado una excepción inesperada.",1362278198883
error,log,,,"Se produjeron problemas cuando se invocó código del plug-in: ""org.eclipse.ui.workbench"".",1362278202673
error,log,,,"Index out of bounds",1362278202674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362278202987
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1362278208104
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1362278208115
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1362278208574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362278208612
error,log,,,"Se produjeron problemas cuando se invocó código del plug-in: ""org.eclipse.ui.workbench"".",1362278212456
error,log,,,"Se ha lanzado una excepción inesperada.",1362278212457
error,log,,,"Se produjeron problemas cuando se invocó código del plug-in: ""org.eclipse.ui.workbench"".",1362278214660
error,log,,,"Index out of bounds",1362278214661
error,log,,,"Se produjeron problemas cuando se invocó código del plug-in: ""org.eclipse.ui.workbench"".",1362278218391
error,log,,,"Se ha lanzado una excepción inesperada.",1362278218392
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1362278220597
error,log,,,"Se produjeron problemas cuando se invocó código del plug-in: ""org.eclipse.ui.workbench"".",1362278220649
error,log,,,"Index out of bounds",1362278220650
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362278222341
error,log,,,"Unhandled event loop exception",1362278222364
error,log,,,"Unhandled event loop exception",1362278223625
error,log,,,"Unhandled event loop exception",1362278226115
error,log,,,"Unhandled event loop exception",1362278227072
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1362278228058
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362278228549
error,log,,,"Unhandled event loop exception",1362278228563
error,log,,,"Unhandled event loop exception",1362278229495
error,log,,,"Unhandled event loop exception",1362278230068
error,log,,,"Unhandled event loop exception",1362278230277
error,log,,,"Unhandled event loop exception",1362278230685
error,log,,,"Unhandled event loop exception",1362278230889
error,log,,,"Unhandled event loop exception",1362278231053
error,log,,,"Unhandled event loop exception",1362278231252
error,log,,,"Unhandled event loop exception",1362278231564
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1362278233939
error,log,,,"",1362278235574
error,log,,,"Unhandled event loop exception",1362278235575
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362278236150
error,log,,,"Unhandled event loop exception",1362278236165
error,log,,,"Unhandled event loop exception",1362278236677
error,log,,,"Unhandled event loop exception",1362278237411
error,log,,,"Unhandled event loop exception",1362278237611
error,log,,,"Unhandled event loop exception",1362278237977
error,log,,,"Unhandled event loop exception",1362278238520
error,log,,,"Unhandled event loop exception",1362278238718
error,log,,,"Unhandled event loop exception",1362278238879
error,log,,,"Unhandled event loop exception",1362278239058
error,log,,,"Unhandled event loop exception",1362278239241
error,log,,,"Unhandled event loop exception",1362278241202
error,log,,,"Unhandled event loop exception",1362278241842
error,log,,,"Unhandled event loop exception",1362278242071
error,log,,,"Unhandled event loop exception",1362278242431
error,log,,,"Unhandled event loop exception",1362278242621
error,log,,,"Unhandled event loop exception",1362278242815
error,log,,,"Unhandled event loop exception",1362278242996
error,log,,,"Unhandled event loop exception",1362278243349
error,log,,,"Unhandled event loop exception",1362278243536
error,log,,,"Unhandled event loop exception",1362278243728
error,log,,,"Unhandled event loop exception",1362278244298
error,log,,,"Unhandled event loop exception",1362278244666
error,log,,,"Unhandled event loop exception",1362278244854
error,log,,,"Unhandled event loop exception",1362278245056
error,log,,,"Unhandled event loop exception",1362278245242
error,log,,,"Unhandled event loop exception",1362278245989
error,log,,,"Unhandled event loop exception",1362278246193
error,log,,,"Unhandled event loop exception",1362278246382
error,log,,,"Unhandled event loop exception",1362278246589
error,log,,,"",1362278258017
error,log,,,"Se produjeron problemas cuando se invocó código del plug-in: ""org.eclipse.ui.workbench"".",1362278258018
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1362278258222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362278258246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362278262009
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362278262053
error,log,,,"",1362278265899
error,log,,,"Se produjeron problemas cuando se invocó código del plug-in: ""org.eclipse.ui.workbench"".",1362278265901
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1362278266064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362278266116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362278266206
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362278270479
error,log,,,"",1362278278886
error,log,,,"Se produjeron problemas cuando se invocó código del plug-in: ""org.eclipse.ui.workbench"".",1362278278887
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1362278278909
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1362278278967
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1362278278967
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362278280087
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1362278280087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362278280863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362278281401
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362278285893
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1362278287044
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1362278287083
stopped,bundle,com.android.ide.eclipse.ndk,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ndk",1362278287083
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,20.0.3.v201208082019-427395,"overlay.com.android.ide.eclipse.adt.overlay",1362278287102
stopped,bundle,com.mds.apg,1.2.91.201207042009,"com.mds.apg",1362278287114
stopped,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1362278287114
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1362278287135
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1362278287152
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1362278287152
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1362278287153
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1362278287153
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1362278287153
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1362278287188
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1362278287188
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1362278287195
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1362278287195
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1362278287196
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1362278287207
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1362278287208
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1362278287214
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1362278287227
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1362278287228
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1362278287228
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1362278287235
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1362278287235
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1362278287235
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1362278287241
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1362278287251
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1362278287276
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1362278287277
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1362278287277
