what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1362345902257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362345902257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362345902287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362345907998
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1362345927029
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1362345927884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1362345928104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362345928143
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1362345929009
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1362345929180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362345936068
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1362345937999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362345937999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362345938032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362345940842
error,log,,,"Se produjo una excepción mientras se guardaban las preferencias de proyecto: /com.jahama.calcularpropina.CalcularPropina/.settings/org.eclipse.jdt.core.prefs.",1362345961783
error,log,,,"Se produjo una excepción mientras se guardaban las preferencias de proyecto: /com.jahama.calcularpropina.CalcularPropina/.settings/org.eclipse.jdt.core.prefs.",1362345961785
error,log,,,"Se produjo una excepción mientras se guardaban las preferencias de proyecto: /com.jahama.calcularpropina.CalcularPropina/.settings/org.eclipse.jdt.core.prefs.",1362345961786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1362345961885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362345961930
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1362345962059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362345965055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362345970559
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1362345978990
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1362345984089
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1362345987402
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1362345987425
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1362345987473
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1362345988509
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1362345988670
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1362345992048
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362345997415
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362346012319
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1362346015722
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1362346015781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346015792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346015861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346020844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346021007
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362346022688
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362346025933
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362346031935
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362346036530
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1362346036940
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1362346037230
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1362346037450
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362346037477
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362346037669
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362346048804
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362346060442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346134041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346147578
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1362346154923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346155411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346158173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346162391
opened,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1362346168679
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1362346168725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346168820
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362346168833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346184943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1362346217312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346217385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346228706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346232412
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1362346238744
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362346240110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346286206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346340829
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362346354982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362346359198
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1362346367576
